vote_id,yes,no,abstain
7339f71b-0bfd-4b6c-a5f9-70bf6851ccee,193,0,0
5219a954-22c5-4ad5-b2df-fee4cd3e1834,191,0,0
c0182e77-5630-4b0e-9952-30b378549b1f,187,4,0
4eb5a0e3-8bd1-48b6-a11e-6ef330ce2bdd,173,0,0
23abeb37-51b8-4eac-bab2-0581d9316094,179,0,2
90a9b6f3-925b-4e3d-a01b-1098b1a1f7c8,184,1,0
016df873-7687-4e59-acd3-d12e87b9a904,189,2,0
bd9ac801-bca1-4f44-8696-48a9711c93c8,185,0,0
f3f61f6a-bc6f-480a-ab24-9e8501e321bf,199,0,0
7ff91c94-8bcb-4e93-bb4e-952a67b03a90,178,4,0
2027435c-9a0f-4e1d-890d-f9168e25c386,176,2,0
ca60c64a-6458-4485-b15d-e55c5eb9803f,184,0,0
3a0214be-41c0-43e9-b4f6-12d2b26c9308,0,189,0
e5676e81-2d63-47b4-be20-20d4a65abac2,186,0,0
a7207afc-08d4-42c8-b4bb-6c2440fbbaee,0,189,0
9b5281ed-204d-4cd6-9d24-d2643af473eb,192,0,0
d20cf9d3-106f-4cab-b723-8487b94ce05a,0,190,2
64d4e832-afbe-4476-8b63-320867bccacc,191,0,0
4ce87593-7b35-4f5d-8a66-2315b4a84c4e,190,0,0
45f28eb6-0a77-4453-90fd-b3e82b4f2d70,184,0,0
39a82453-5aa2-4a1d-bbcb-8fba40c1ecf2,191,0,0
a6f7c82a-8569-41b6-a562-e6e1bc08597e,0,191,1
3f69e271-c1f5-46df-9985-8864293a28c1,0,190,0
3448fff9-82c4-4234-ae9d-3b4a549680bd,181,0,0
177f7c47-a3a5-47bc-8f24-e7968708aa6b,182,0,1
aed64ec3-56cc-4caa-a932-13d02734fbb4,0,187,0
6a3ff7bf-7d39-4e5d-ba92-7f82615b1b44,194,0,0
d569e397-b3d4-49de-8af5-d9e218724542,194,0,0
d271fac8-62fe-4390-a75e-af301e8cf44d,182,0,0
f66c02c9-fb04-46f9-8df5-c8a0b6590cd2,191,0,0
37b2627e-ec89-41d3-8f08-1ea1a15c4259,182,0,0
aa98a82b-697b-4622-8a0c-3a0c948d6b63,168,0,0
edc15e90-109b-4d8d-bd34-a23d29ca4d81,183,0,0
6ad520c4-060b-40bc-8dea-4f0890b77986,0,185,0
aab96cb1-8e7e-42e1-b2f8-515040e2ef0c,0,181,0
0786a678-e054-4710-bda7-21c77ef22dbb,0,183,0
13941fc6-cf8b-4d78-b394-2558d2a5951e,185,0,0
010ed835-1b58-4c9c-aa49-88d5a2b4011a,136,0,0
90505e4f-a02c-42da-9285-398bb5f222e9,188,0,2
89ec9452-5ea2-4e6e-a169-5e9958bee135,195,0,0
ff64fbb5-012c-4896-a83d-1bbca6002f93,0,185,1
adf24866-df99-4335-84ca-8a2146cea623,0,188,0
877a6da5-9edc-4fee-890b-7971b3b376f3,0,193,0
a2214771-6c93-4489-9c85-7015056b50cc,200,0,0
d5fa2a5e-cc89-483b-8cde-34c7e995834b,202,0,0
4cbac7b6-53a0-427e-8a78-f8c9d38b09d5,189,3,0
7fe401f2-ce82-4611-a434-230d6ccd17ad,0,187,0
690bfe84-d9ad-44bb-b5d4-3031f14dabe0,197,1,1
6d3ca23a-e54a-4276-8e4c-9a721b84bac7,126,61,6
9a76263c-dc4d-458b-a941-a499b0c3519b,62,128,6
efa266c4-9774-4f7b-9707-a59d8df168c6,170,0,0
ef6d7e4e-1fe9-47cc-83ce-c6524f8bf0b1,173,1,0
dfe044f9-14d3-4bcd-be94-be4ad7f4b82f,1,183,0
82a15006-32d8-4c29-9e2e-6b1657607aa3,194,0,0
b3d70b22-6a3e-405b-be67-5b55bf66503f,198,0,0
a3b38e97-c367-45eb-951f-9168e67f574f,193,0,0
dcfe9487-5bec-40b4-ac7e-5e266532917d,188,0,0
a8374def-fc7e-4800-bb1d-14d966ffad49,181,1,0
ce045a4d-260d-46c4-85bc-95d81ecd6ebe,188,2,0
d6a2e131-ef45-4c78-807b-d53492489a6b,191,0,1
c36b8cd3-07ea-40c2-84b3-c743971a6e8b,168,0,0
146c1fd0-044f-4b78-8f49-552ee1a32ce6,189,0,0
8ebfd7e2-0139-4415-939b-40dcd913d664,0,188,0
e2513da6-a4f8-4d5e-8ef3-67683163741d,193,0,0
b0bd72e3-b293-4c10-a1cd-8a118e0f6c9f,0,181,0
f01a0516-e6de-43a9-92c3-c68b110ec180,183,1,0
08b60bc1-2873-4be6-96a4-c3486f32ed58,0,186,0
135561cc-b277-4bff-85db-469561fc3aba,188,0,0
76da33c1-43e6-4952-a8f1-7c68cc61b41b,189,0,0
272ea93b-3760-43e4-8c03-f188de9bf2a0,189,0,0
43293c52-21c7-498d-b4ae-44ea68303169,191,0,0
f26bb20c-690d-4706-9223-b984c5c349b8,191,0,0
f04cf2a5-151c-41e4-8180-ddd1f879d40e,0,181,0
bf37d984-2dd9-419f-8c39-a6b8428f01da,0,187,0
92a9ab4f-2e68-46b0-9fc3-d8a714a5a95d,198,1,0
64e78766-388d-43ce-82a3-307ad71a9f11,182,2,0
678519b4-1e98-4d5e-9cc8-48c58cf212cd,196,2,1
dffff148-6a70-4c68-a872-8492ccd93a18,180,0,0
0c9df7d9-7614-4759-8f66-488eeb6dcf51,180,0,0
daf2d567-9345-46d5-ae0e-409d97a8300c,174,0,0
d667a7a8-3c25-431c-b93f-f0f68bcd219d,183,0,0
43218ca6-7c2a-49cf-95c9-0ea8c517c290,179,0,1
278f3021-01bf-4cf2-b918-a57c5b138c91,187,0,0
6c297f64-7a7b-4324-8a7c-800bfd5653ca,185,0,0
e863ae32-3a46-416c-b2ea-b54612aeb4ac,186,0,0
1f3fd37c-d98f-49ba-9fae-704470ae29a7,189,0,0
a2fae1c2-e440-426a-b2a5-f3ce6323ef1e,187,0,0
d1ff2ee3-2700-4622-963c-818bdf582976,191,0,0
73ab6f58-9a70-4d04-b6b3-8e777b52dc07,189,0,0
61b6501b-71cd-4fd6-a599-271a65585bfb,0,189,0
10ea03b3-a8e6-444d-8714-58552a4a9a1b,189,0,0
a40ded8c-2d06-4f1d-9ecc-b86b1dd099ca,182,0,2
523776c1-db3e-40b3-8185-14541e5533db,0,188,0
5bc233b7-d44b-4404-ae20-350a30691632,183,0,1
c45966a5-647c-47ea-b8b7-aca973d52222,0,187,0
fc7f36b9-bd9d-4eee-a211-6d3fe0b054ef,191,0,0
f6837d6e-c5f0-46f7-8423-1c340b03ea45,195,0,0
2f87f50e-0985-441b-bffa-dfd34af16874,196,0,0
4adfdaab-fec4-40c4-9ff0-a12fa3baca9b,194,0,0
90955d5b-458c-4947-a3c2-02cb6744b36d,183,1,3
4b60fb60-8b16-4d0f-9983-45d7d4e6ca55,0,190,0
08b4d1ae-286d-4e63-9311-fa75bdb7d374,194,0,0
d75faf21-1e0b-4c3a-a120-200480277401,182,0,0
46839e74-5466-4398-ae26-b23f9dec7152,0,183,0
0cc61e04-6098-4931-9d8a-a1fa629b9701,188,0,0
f9e8b63b-d42e-4964-99bc-7b00ce6bc12b,0,177,0
f1bad23f-9cd3-4b18-9664-6893b25eca22,188,0,0
adcd7e7e-58f3-4523-8847-9d7b1cabdf16,0,178,0
6efd47b7-992e-4443-8644-eac5b93045fb,0,182,0
dbbb4cb4-e3a4-4af2-bdab-357f3cc36e59,185,1,0
8f21277c-adfa-4750-8ffc-baa21cf99c5b,199,0,1
a7c8bc17-0801-4b10-b001-084739e5a5ea,179,1,0
9bacacfb-a41e-4ba1-80c3-015869a44e9c,180,1,0
ea8c636e-3e77-4dea-a4a6-4f2faf69bb0b,183,0,0
0a1b4411-4a35-46d0-b3b6-7e7f5c507162,0,181,0
e264258a-7124-4271-afd6-d13bf57c0619,0,183,0
6681fc56-cced-4357-a861-7dcf02b548dd,0,183,0
63c5b6ad-c216-4c1d-9e2f-dae0d37eaa3b,187,0,0
fa152ed3-6d29-432b-afb2-b7ca70ee5140,187,0,0
ff3a8e04-80ea-4bd7-bf09-9cc8946f52e7,186,0,0
f43f3e42-064a-4502-a363-a371e510f5f4,188,0,0
06743991-d339-4438-85cb-7385d087f7a3,187,0,0
2204aefc-9a6f-407b-87f6-8435520809ea,175,0,0
766f0bf3-1c67-4453-a646-264421f0ef75,187,9,1
15b49b54-bd78-4e59-a50e-eaeae6fbc2a4,0,198,0
ca059d5f-9c32-4a0b-b73d-7e42ab097de7,191,8,0
19bfc9a0-6066-416d-a32f-2aee136acd15,198,0,0
37691070-2271-487a-809a-628dfebfd1a5,197,0,0
a11a80a5-58e6-4b1b-a576-1d805ac502d7,198,0,0
ce81d038-e8af-4227-a657-828f0adccd85,193,0,0
40b8a6a2-d1ca-46b9-8c93-943c5dc663ff,188,1,0
e71f394f-c2ee-4da2-8ff0-a51651e5eef0,181,0,0
cee96bcb-c5dc-4cd6-87a9-a6cd5c3e3704,182,4,1
72e867ac-16a0-4215-b30f-6ac433879840,186,0,0
d383e4e1-7618-426b-95fc-1926b6d05eb7,185,0,0
3e234600-f345-42e6-95be-db7b78f01873,185,0,0
1537e306-3687-4254-ab8d-5a940b323d10,193,0,0
a8f9b527-6b5a-4a37-8d6e-c015fec4f48d,0,194,0
93dacfa1-ad8e-4767-bbcc-a7603cf2f70c,3,191,0
9deaf85e-6c0b-46e5-8007-88386afa6bdf,0,192,0
05ded506-a8fe-4cdf-b3bf-f858ea6a97d2,179,9,5
f22ac09b-e1a3-4b27-94b8-c34d849dff61,179,0,0
5c217b50-cd18-4cb7-a949-ce79bcf055be,173,1,0
f9b8fdc9-9115-443f-80da-b395fbbdf777,183,0,0
5cec1940-a915-4f88-bb6d-967826577dd7,0,182,0
28c9f964-b598-4a73-97af-dc5815889d19,186,3,0
4f6fc0a2-2243-441d-b6cb-636ccef0bb7c,188,0,0
103ec11c-04d5-43cd-b72f-8ecb1830b69a,191,0,0
661e523f-ccdc-4d7c-9001-9df905d510a3,0,196,0
ea05dffa-1140-4b9f-a206-87a4f67e131c,197,0,1
d3d36b42-bfcb-4fe2-bd31-55801ad431f4,0,193,0
aa6a0c2c-3f9e-497c-aae9-bb1370204182,194,0,0
9e7163aa-e487-4e1a-97d8-c0f2ed027d3b,134,2,0
e1bbe9ab-5ab5-40da-8820-cca5f8ef0997,131,2,0
9941bfbb-b165-4cff-81c8-e68d2ffff6b8,143,0,0
78b9ed44-76a6-4e01-8b52-f0b7366d6bca,133,0,0
b5791e2d-71a7-41cb-99d9-fa0d80fd7b9a,0,132,0
68e38bb5-60d5-4671-aba7-a8288b38e493,130,0,0
1b6031b2-2e69-455b-af9c-1c32b9d4c134,130,0,0
0f211809-06ce-4160-a90e-d7ae7f7a6a43,136,3,0
92d514e1-8282-4b9e-a55c-04e8ceb3b462,135,0,1
986799a6-4b4b-4fb0-8777-a6aba94e780b,119,1,0
a84d9d0e-a9e3-42f9-8bde-0ca835e871b2,138,0,0
72930e9e-7290-4706-83f8-d03f7bacbae7,1,128,0
d493922e-212b-4dad-a82e-f5e525af813e,134,0,0
a18a6983-f9da-4208-b1a0-02e42fe7a42f,123,5,3
d1ec90cd-5eb0-4bad-8393-1a2ca0f3c9f5,0,136,0
47233e70-298f-4cea-9641-688dd35159b1,1,138,1
6bd1879b-a55f-48b0-a8a1-1cb44c46b552,1,138,1
cd122786-df2d-4f35-a586-c03787512f99,139,1,0
bc841058-62f0-4ff7-967b-d43f9d60c73f,136,3,0
3643589a-3488-4ef3-b2bd-f3b50bbc8adb,138,2,0
54606c37-5aaf-4580-ba73-8c25a22b3fcc,0,128,0
f87d156d-a517-4ce6-a36a-1bf26c963ad9,136,1,1
faca61ee-d0cb-4eee-914d-60b73da530d4,0,141,0
8509377b-d299-4f37-b2e4-ed6c0fab0472,139,0,0
8355c460-743f-4c7b-a940-bf98a55e2344,0,141,0
2c3c70e2-0f4d-4345-a251-cca0188a066f,140,0,0
46486c9e-7dc0-49da-8472-31ef9756bef6,133,1,0
2c1111bd-321a-4b24-be80-38e3900a64a2,134,2,0
b77caf7b-c248-4554-bb93-b80c1d66c15e,135,2,3
d129cbc5-f034-4710-b02d-713cddbe5aae,0,139,0
2bf84bce-a06e-47fe-812b-683ced368b32,0,141,0
8237f983-fe63-4e78-b2c1-de3037b417d8,1,140,0
36a838cd-3fe8-42e2-9e56-908725f5a34b,1,140,0
d0c6da3f-75ae-4ea0-b82c-a35b1f6e659f,0,140,1
6471fa92-b7f9-4775-9a8b-bd87ac1b2683,133,0,0
eec706fa-161a-4806-903f-7a5296ed57f0,119,0,0
8f5cd596-a156-4678-8f71-d2cde9a2639f,126,7,2
b2be203e-f0be-4537-9ad5-3837510499e0,1,139,0
7ae7213b-d2e5-41f4-bb47-86c3dc3b1397,139,0,0
86ff0723-b4b4-4e48-9394-0e456a6330e5,144,0,1
a42daca6-f974-4bb6-ab37-b5794a953da9,135,3,1
b4c409b8-bbde-477a-a538-35d342c3231b,138,0,0
4da33e34-4c05-47a1-9aa7-163b753e3411,136,0,0
